Descripción,Unidad,Costo,Familia,Subfamilia
"Bovedilla de concreto ligero de 15x63x20, peso de 115 kg/m2",pieza,$30.00,Mampostería,Bovedilla
"Brazo para luminaria tipo ""C"" de 1.50 m de longitud y 1.25"" de diametro, cédula 30",pieza,$245.00,Instalaciones eléctricas,Postes y brazos
"Brida Fo.Fo. roscada de 10""(256 mm) de diámetro",pieza,$662.87,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2""(51 mm) de diámetro",pieza,$124.81,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 2-1/2""(63 mm) de diámetro",pieza,$144.59,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 3""(76 mm) de diámetro",pieza,$189.08,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 4""(101 mm) de diámetro",pieza,$242.22,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 6""(152 mm) de diámetro",pieza,$395.47,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 8""(203 mm) de diámetro",pieza,$442.31,Instalaciones hidráulicas,Conexiones
Brocal con tapa ciego de 60 cm serie 250,pieza,"$1,176.18",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 110 kg,pieza,"$1,540.00",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 130 kg,pieza,"$1,820.00",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 160 kg,pieza,"$2,240.00",Mampostería,Registros y brocales
"Cal hidratada modelo cal Pirámide, saco de 25 kg",t,"$1,590.36","Cementos, cales y yesos",Cal hidratada
"Canal metálico cal. 26 de acero galvanizado, de 4.10 cm (1-5/8"") de ancho, 3.05 m (10') de largo",pieza,$34.20,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 6.35 cm (2-1/2"") de ancho, 3.05 m (10') de largo",pieza,$41.04,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 9.20 cm (3-5/8"") de ancho, 3.05 m (10') de largo",m,$36.33,Aceros,Canales
"Canaleta de carga de 1-1/2""(38 mm) x 3.05m, calibre 22",m,$9.80,Instalaciones eléctricas,Charolas y escalerillas
"Carrete corto fofo 10"" (254 mm) de diámetro x 250 mm de longitud",pieza,"$1,897.71",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2"" (51 mm) de diámetro x 250 mm de longitud",pieza,$246.00,Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2-1/2"" (64 mm) de diámetro x 250 mm de longitud",pieza,$316.36,Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 3"" (76 mm) de diámetro x 250 mm de longitud",pieza,$286.51,Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 4"" (102 mm) de diámetro x 250 mm de longitud",pieza,$597.42,Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 6"" (152 mm) de diámetro x 250 mm de longitud",pieza,$913.62,Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 8"" (203 mm) de diámetro x 250 mm de longitud",pieza,"$1,370.49",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 10"" (254 mm) de diámetro x 500 mm de longitud",pieza,"$2,951.94",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2"" (51 mm) de diámetro x 500 mm de longitud",pieza,$386.51,Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2-1/2"" (64 mm) de diámetro x 500 mm de longitud",pieza,$492.04,Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 3"" (76 mm) de diámetro x 500 mm de longitud",pieza,$597.42,Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 4"" (102 mm) de diámetro x 500 mm de longitud",pieza,$913.62,Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 6"" (152 mm) de diámetro x 500 mm de longitud",pieza,"$1,370.49",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 8"" (203 mm) de diámetro x 500 mm de longitud",pieza,"$2,073.34",Instalaciones hidráulicas,Conexiones
"Cemento flexible Basecoat, saco de 20 kg",kg,$15.13,Concretos y morteros,Adhesivos para loseta
"Cemento para loseta, tipo Piso sobre Piso Rápido, color gris, bulto de 10 kg",kg,$23.71,Concretos y morteros,Adhesivos para loseta
"Cemento portland blanco CPC 30RB, saco de 50 kg",t,"$4,608.67","Cementos, cales y yesos",Cemento blanco
"Cemento portland gris CPC 30R, saco de 50 kg",t,"$3,123.32","Cementos, cales y yesos",Cemento gris
Cepillo plástico para limpieza Reynera,pieza,$71.12,Ferretería,Consumibles
"Cera autobrillante de loseta y mármol, bote de 750 ml",pieza,$81.90,Ferretería,Consumibles
"Cero fino, bulto de 50 kg",kg,$1.11,"Cementos, cales y yesos",Yeso fino y estuco
"Chaflán de madera de pino de 3a de 3/4"" (19 mm) x 3/4"" (19 mm) x 8 1/4' (2.50 m)",m,$3.09,Maderas,Chaflanes
"Cinta de fibra de vidrio E, de 10 cm x 45 m",m,$1.83,Impermeabilizantes,Membranas de refuerzo
"Cinta de refuerzo para juntas, rollo de 76.25 x 5.24 cm",pieza,$38.21,"Cementos, cales y yesos",Compuestos y cintas
"Clavo de 2 1/2"" (63 mm) con cabeza, calibre 11, clave 3120",kg,$16.00,Ferretería,Clavos
"Cloro regular, bote de 3.75 l",l,$4.60,Ferretería,Consumibles
"Codo conduit de PVC ligero de 90° de 50 mm (2"") modelo CPL0519",pieza,$19.80,Instalaciones eléctricas,Canalizaciones
Codo de concreto de 15x45 grados,pieza,$73.60,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 102 mm (4"") tipo TAR-TISA",pieza,$209.69,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 152 mm (6"") tipo TAR-TISA",pieza,$550.79,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 203 mm (8"") tipo TAR-TISA",pieza,"$1,267.72",Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 51 mm (2"") tipo TAR-TISA",pieza,$114.20,Instalaciones sanitarias,Conexiones sanitarias
"Codo Fo.Fo. Bridado de 45°,22° y 11° x 2-1/2"" (63 mm)",pieza,$843.35,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 45°,22° y 11° x 3"" (76 mm)",pieza,$949.20,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 2-1/2"" (63 mm)",pieza,$316.40,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 3"" (76 mm)",pieza,$386.51,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 10""(254 mm) modelo L123",pieza,"$1,456.87",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 4""(102 mm) modelo M398",pieza,$168.31,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 6""(152 mm) modelo M607",pieza,$418.81,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 8""(203 mm) modelo L122",pieza,$882.67,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 90° x 10"" (254 mm) modelo L454",pieza,"$2,299.41",Instalaciones hidráulicas,Conexiones
"Codo fofo 45, 22 y 11 de 51 mm ( 2"")",pieza,$341.29,Instalaciones hidráulicas,Conexiones
Coladera Pluvial con boca de tormenta Fo.Fo. de 75 kg,pieza,"$1,050.00",Instalaciones sanitarias,Coladeras y rejillas
"Coladera Tipo plato de hierro gris con rejilla redonda de acero inoxidable modelo UP 660, diametro de 31.75cms y rejilla redonda de 23.31 cns, con conexión roscada para 4""(100mm)",pieza,"$1,188.01",Instalaciones sanitarias,Coladeras y rejillas
"Compuesto RD+Mix Clásico, de 22 kg",pieza,$233.28,"Cementos, cales y yesos",Compuestos y cintas
"Concreto asfáltico en planta agregado de 3/4"" a finos cemento asfáltico AC-20",m³,"$3,097.13",Básicos auxiliares,Mezclas asfálticas
Concreto Pmz fc=200 kg/cm2 Rev. 14 - 28 D,m³,"$1,366.00",Concretos y morteros,Concreto premezclado
Concreto Pmz fc=250 kg/cm2 Rev. 14 - 28 D,m³,"$1,462.00",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm",m³,"$1,327.00",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm",m³,"$1,366.00",Concretos y morteros,Concreto premezclado
"Contramarco doble canal 6"" x 1.80 m",pieza,"$3,178.81",Cancelería y vidrio,Perfiles de aluminio
"Contramarco doble canal 6"" x 2.10 m",pieza,"$3,503.72",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.40 m",pieza,"$1,928.37",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.80 m",pieza,"$2,291.56",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 2.10 m",pieza,"$2,556.33",Cancelería y vidrio,Perfiles de aluminio
"Cristal flotado de 4 mm de espesor, de 2.30x2.60 m, tipo Claro",m²,$149.55,Cancelería y vidrio,Vidrio recocido
"Cruz Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",pieza,"$17,614.31",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",pieza,"$3,827.53",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",pieza,"$3,865.87",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",pieza,"$4,133.87",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",pieza,"$4,401.76",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",pieza,"$4,860.98",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",pieza,$459.47,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2"" (63x51 mm)",pieza,$574.12,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",pieza,$650.59,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",pieza,$689.03,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",pieza,$727.11,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",pieza,$803.78,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",pieza,$995.16,Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",pieza,"$1,071.68",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",pieza,"$1,110.11",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",pieza,"$1,339.62",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",pieza,"$1,531.00",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",pieza,"$1,607.61",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",pieza,"$1,685.80",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",pieza,"$1,875.60",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",pieza,"$2,181.83",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",pieza,"$2,449.83",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",pieza,"$2,487.91",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",pieza,"$2,717.48",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",pieza,"$2,949.33",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",pieza,"$3,368.32",Instalaciones hidráulicas,Conexiones
Detergente en polvo de 1 kg,kg,$25.43,Ferretería,Consumibles
Diesel,l,$18.63,Combustibles y lubricantes,Diésel
"Electrodo revestido de 1/8"" de diámetro, 14"" de longitud, tipo Lincoln 46 E6013",kg,$70.69,Ferretería,Soldadura
"Empaque de plomo 2"" (51 mm), 2mm de espesor",pieza,$23.53,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 10"" (256 mm)",pieza,$165.88,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 2-1/2"" (63 mm)",pieza,$26.47,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 3"" (76 mm)",pieza,$35.29,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 4"" (101 mm)",pieza,$47.06,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 6"" (152 mm)",pieza,$58.82,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 8"" (203 mm)",pieza,$111.76,Instalaciones hidráulicas,Conexiones
"Emulsión asfáltica RR-2K, elaborada con AC-20 ó equivalente y materiales pétreos de granulometría 3/4"" (19 mm).",l,$9.80,Básicos auxiliares,Mezclas asfálticas
"Entrada de servicio (mufa) tipo abrazadera de 1/2""(13 mm) modelo EH-1",pieza,$24.29,Instalaciones eléctricas,Acometidas y mufas
"Entrada de servicio (mufa) tipo abrazadera de 3/4""(19 mm) modelo EHC-2",pieza,$37.50,Instalaciones eléctricas,Acometidas y mufas
"Escalerilla, diseño 20-2. diseño 17 cm, separacióm 30 cm",pieza,$13.00,Instalaciones eléctricas,Charolas y escalerillas
Escalon para pozo de visita ligero,pieza,$67.17,Mampostería,Registros y brocales
"Esferas de poliestireno expandido recubiertos con aditivo STC-STYRENCRET para un peso volumétrico seco de 1,450 kg/m3, bolsa de 200 lts",l,$1.45,Agregados,Agregados ligeros
"Esquinero metálico 30, de 2.44 m",pieza,$17.76,Aceros,Ángulos
"Estopa blanca, bolsa de 1 kg, clave EST0-1B",kg,$39.00,Ferretería,Consumibles
"Extremidad Fo.Fo. bridada de 10""(256 mm)",pieza,"$1,933.13",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2""(51 mm)",pieza,$265.79,Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2-1/2""(63 mm)",pieza,$338.36,Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 3""(76 mm)",pieza,$429.06,Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 4""(101 mm)",pieza,$607.84,Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 6""(152 mm)",pieza,$970.66,Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 8""(203 mm)",pieza,"$1,361.52",Instalaciones hidráulicas,Conexiones
Fabrimalla de acero de 2 x 2 - 14/14.,pieza,$49.89,Aceros,Malla electrosoldada
"Fester Silicón, cubeta de 19 litros",l,$157.58,Impermeabilizantes,Selladores
"Fierro estructural de 1"" x 1/8""",kg,$17.21,Aceros,Soleras
Flete Mty-Mex (224 m2),Flete,"$23,639.21",Equipo y herramienta,Transporte y fletes
Flete Mty-Mex (280 m2),Flete,"$30,170.85",Equipo y herramienta,Transporte y fletes
"Foco de vapor de sodio de 150w, modelo Foco SHP-TS 150W E39",pieza,$165.52,Instalaciones eléctricas,Lámparas y focos
"Foco de vapor de sodio de 250w, modelo Foco SODIO LU250W ED18 E39",pieza,$129.31,Instalaciones eléctricas,Lámparas y focos
"Franela de algodón color gris, rollo de 50 m, clave FRA-50G",m,$10.50,Ferretería,Consumibles
Gas butano,kg,$16.58,Combustibles y lubricantes,Gas LP
Gasolina Magna,l,$17.62,Combustibles y lubricantes,Gasolina
Gastos de taller (10% de materiales),%ma,$171.12,Ferretería,Consumibles
Grava cementada controlada,m³,$220.56,Agregados,Bases y sub-bases
"Grava de 1-1/2"" (38 mm)",m³,$451.05,Agregados,Grava
"Grava de 3/4"" (19 mm)",m³,$350.95,Agregados,Grava
Gravilla,m³,$266.52,Agregados,Grava
"Hidroprimer®, cubeta de 19 lts",pieza,"$1,816.00",Impermeabilizantes,Primarios e imprimantes
"Impermeabilizante asfáltico Vaportite 550®, cubeta de 19 lts",pieza,"$1,968.00",Impermeabilizantes,Impermeabilizante asfáltico
Juego de herrajes para puerta modelo 65 L 300,juego,$134.81,Cancelería y vidrio,Accesorios de cancelería
"Juego de herrajes para ventana de 2"".",juego,$50.87,Cancelería y vidrio,Accesorios de cancelería
"Juego de llaves individuales para lavabo modelo FIG 242, acabado cromado",pieza,$690.11,Instalaciones hidráulicas,Llaves y grifería
"Juego de manerales grandes “KING” acabado latón, modelo KG",pieza,$241.55,Instalaciones hidráulicas,Llaves y grifería
"Junta Gibault Fo.Fo. Completa de 10"" (256 mm) de diámetro",pieza,$622.35,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2"" (51 mm) de diámetro",pieza,$89.18,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2-1/2"" (63 mm) de diámetro",pieza,$107.06,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 3"" (76 mm) de diámetro",pieza,$128.24,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 4"" (101 mm) de diámetro",pieza,$194.71,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 6"" (152 mm) de diámetro",pieza,$304.71,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 8"" (203 mm) de diámetro",pieza,$457.65,Instalaciones hidráulicas,Conexiones
Lámina galvanizada calibre 10 con recubrimiento anticorrosión espesor de 3.45 mm de 3' x 10' (75.34 kg/Pieza),kg,$23.32,Aceros,Lámina
"Lámina galvanizada de 4'x8', calibre 18, con recubrimiento de zinc",kg,$21.47,Aceros,Lámina
"Lavabo de cerámica de alto brillo de bajo cubierta con rebosadero, color blanco, tipo Lugano, modelo LV Lugano",pieza,$909.79,Instalaciones sanitarias,Muebles de baño
Llantas 1100-20 (6),juego,"$24,020.36",Equipo y herramienta,Equipo pesado
Llantas 11x22 (12 capas) (8) & 33.25x29 26 PRE-3 (2),juego,"$272,514.21",Equipo y herramienta,Equipo pesado
Llantas 1300 x 24 14 PR G-2 (6),juego,"$61,085.95",Equipo y herramienta,Equipo pesado
Llantas 14.9-24 6 R-4 (2),juego,"$14,536.09",Equipo y herramienta,Equipo pesado
Llantas 15.5 X 25 12 C L-2 (4),juego,"$19,085.69",Equipo y herramienta,Equipo pesado
Llantas 1800 (4),juego,"$138,024.15",Equipo y herramienta,Equipo pesado
"Loseta modelo Gala Beige de 20.1 x 30.2 cm, aspecto mármol, acabado brillante para muro",m²,$123.00,Pisos y azulejos,Azulejo
"Loseta vinílica de 1.6 mm de espesor, de 30.48 x 30.48 cm, modelo PM 326",m²,$75.96,Pisos y azulejos,Piso vinílico
"Loseta vinílica de 3.1 mm de espesor, de 30.48 x 30.48 cm, modelo TC 573",m²,$156.64,Pisos y azulejos,Piso vinílico
"Luminaria Diamante para alumbrado vial, VSAP 250 W, modelo LM026",pieza,"$3,227.00",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 63 W, 6,800 lm, 120/227V, código 221565",pieza,"$5,282.48",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 94 W, 10,200 lm, 120/227V, código 221569",pieza,"$6,229.91",Instalaciones eléctricas,Luminarias
"Luminario Europea Led de 105 W, modelo LP010, carcaza de aluminio inyectado",pieza,"$9,829.00",Instalaciones eléctricas,Luminarias
"Luminario LED industrial y comercial, carcasa de aluminio, modelo 217011 de 160 W",pieza,"$9,608.81",Instalaciones eléctricas,Luminarias
Madera de pino (cimbra) de 1 cara de 15 mm x 1.22 m x 2.44 m,hoja,$547.07,Maderas,Triplay para cimbra
"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",pt,$21.21,Maderas,Tablón y duela de obra
"Malla electrosoldada de 6x6-10/10, de 2.5x40 m, modelo 604",m²,$15.00,Aceros,Malla electrosoldada
"Malla esquinera recta de 4""(100 mm) x 2.40 m",pieza,$55.66,Aceros,Malla electrosoldada
Malla unión Termofon,pieza,$22.84,Aceros,Malla electrosoldada
"Manguera de succión para agua y lodo de 75 mm (3"") código MAS-ES076, tramo de 30 m",pieza,"$5,651.49",Instalaciones hidráulicas,Conexiones
"Marco con tapa AP de 50 x 50 cm, de 80 kg",pieza,"$1,728.43",Mampostería,Registros y brocales
"Membrana de refuerzo para sistemas impermeables asfálticos base agua y base solvente Festerflex, de 10 x 1.10 m",m,$9.67,Impermeabilizantes,Membranas de refuerzo
Moldura de poliestireno tipo pecho paloma de 10 x 10 cm No. 1,m,$37.21,Maderas,Zoclos y molduras
"Mortero expansivo Sika Grout, saco de 30 kg",pieza,$560.99,Concretos y morteros,Grouts y autonivelantes
Panel CONTEC AAC-4 78 kg/cm2 (para Vivienda),m³,"$3,874.03",Mampostería,Paneles y celosías
Panel CONTEC AAC-4 98 kg/cm2 (para Vivienda),m³,"$3,911.72",Mampostería,Paneles y celosías
Panel de yeso regular de 1.22 x 2.44m (4' x 8') de 12.7 mm de espesor,pieza,$106.00,"Cementos, cales y yesos",Paneles de yeso
"Panel estructural Covintec Premium de 3"" x 1.22 x 2.44 m",pieza,$475.63,Mampostería,Paneles y celosías
"Panel estructural de 3"" de 1.22 x 2.44 m, alambre Cal. 14",pieza,$456.90,Mampostería,Paneles y celosías
"Panel semi-estructural de 2"" de 1.22 x 2.44 m, alambre Cal. 14",pieza,$300.00,Mampostería,Paneles y celosías
Perfil principal T de 3.66 m,pieza,"$2,515.33",Aceros,Perfiles estructurales
Perfil secundario T de 0.61 m,pieza,$947.77,Aceros,Perfiles estructurales
Perfil secundario T de 1.22 m,pieza,"$1,809.58",Aceros,Perfiles estructurales
"Perfiles de fierro tubular de lámina 1/2""x1""",kg,$26.15,Aceros,Tubería de acero
Piedra braza,m³,$562.33,Agregados,Piedra braza
"Piedra de mármol (marmolina) blanco cero grueso, bolsa de 50 kg",kg,$1.79,"Cementos, cales y yesos",Yeso fino y estuco
"Pija para madera con aristas #10 x 1 1/2"", punta 17 phillips negra, modelo PMA10038",pieza,$0.41,Ferretería,Tornillería
"Pija para tablaroca cuerda fina de #6 X 1 5/8"", phillips negra, modelo PT06041",millar,$215.52,Ferretería,Tornillería
"Pintura anticorrosiva Comex 100 Primario®, cubeta de 19 litros",l,$97.14,Pinturas y recubrimientos,Primarios
"Pintura esmalte alquidálica anticorrosiva base agua, Acqua 100 Max®, cubeta de 19 litros",l,$124.05,Pinturas y recubrimientos,Esmalte
"Pintura para señalamiento de tránsito Vía Color®, cubeta de 19 litros",l,$131.19,Pinturas y recubrimientos,Pintura para tráfico
"Pintura vinil acrílica satinada base agua Vinimex®, bote de 19 litros.",l,$102.09,Pinturas y recubrimientos,Pintura vinílica
"Placa de acero A-36 de 1/4"" de 11 x 5 cm",pieza,$16.37,Aceros,Placa de acero
"Placa de acero A-36 de 1/4"" de 9 x 5 cm",pieza,$16.37,Aceros,Placa de acero
"Plaka plafón Antaris LS de 61 x 61 cm, resistente al fuego, caja con 14 piezas",caja,"$1,722.15",Maderas,Plafones
"Plato quiebra chorro con bola de contra peso y codo cespol, de fierro fundido",juego,$957.90,Instalaciones sanitarias,Accesorios sanitarios
Polietileno de 400 micras,m²,$15.71,Impermeabilizantes,Barreras de vapor
Polín cimbra de pino de 8 cm x 8 cm x 2.50 m,pt,$8.60,Maderas,Polines y barrotes
Poste calibre 26 de 4.10 cm x 2.44 m,pieza,$30.90,Aceros,Canales
Poste calibre 26 de 6.35 cm x 2.44 m,pieza,$49.00,Aceros,Canales
"Poste cónico circular de 8.00 m, fabricado en lamina de acero, calibre 11, modelo PS027",pieza,"$3,612.00",Instalaciones eléctricas,Postes y brazos
"Poste cónico cuadrado, serie PCCU de 5 m de altura, espesor de placa de 11.1 mm, terminado galvanizado",pieza,"$1,755.00",Instalaciones eléctricas,Postes y brazos
"Poste metálico cal. 26m, 9.20 cm x 2.44 m",m,$22.58,Aceros,Canales
"Puerta de abatir de 1.80 x 1.20 m, cristal claro de 3 mm completo, con marco de aluminio blanco pintura electrostática. (incluye: chapa sencilla con llave y 2 jaladeras)",pieza,"$7,277.27",Cancelería y vidrio,Puertas y canceles
