Descripción,Unidad,Costo,Familia,Subfamilia
"Brida Fo.Fo. roscada de 4""(101 mm) de diámetro",Pieza,$992.79,Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 6""(152 mm) de diámetro",Pieza,"$1,474.11",Instalaciones hidráulicas,Conexiones
"Brida Fo.Fo. roscada de 8""(203 mm) de diámetro",Pieza,"$2,104.86",Instalaciones hidráulicas,Conexiones
Brocal con tapa ciego de 60 cm serie 250,Pieza,"$1,526.46",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 110 kg,Pieza,"$7,069.29",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 130 kg,Pieza,"$8,061.48",Mampostería,Registros y brocales
Brocal pozo de visita con tapa de Fo.Fo. de 160 kg,Pieza,"$10,404.89",Mampostería,Registros y brocales
"Cal hidratada modelo cal Pirámide, saco de 25 kg",t,"$3,386.54","Cementos, cales y yesos",Cal hidratada
"Canal metálico cal. 26 de acero galvanizado, de 4.10 cm (1-5/8"") de ancho, 3.05 (10') de largo",Pieza,$51.24,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 6.35 cm (2-1/2"") de ancho, 3.05 (10') de largo",Pieza,$62.32,Aceros,Canales
"Canal metálico cal. 26 de acero galvanizado, de 9.20 cm (3-5/8"") de ancho, 3.05 (10') de largo",m,$27.31,Aceros,Canales
"Canaleta de carga de 1-1/2""(38 mm) x 3.05m, calibre 22",m,$24.72,Instalaciones eléctricas,Charolas y escalerillas
"Carrete corto fofo 10"" (254 mm) de diámetro x 250 mm de longitud",Pieza,"$8,384.38",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2"" (51 mm) de diámetro x 250 mm de longitud",Pieza,"$1,270.62",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 2-1/2"" (64 mm) de diámetro x 250 mm de longitud",Pieza,"$1,574.54",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 3"" (76 mm) de diámetro x 250 mm de longitud",Pieza,"$2,109.26",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 4"" (102 mm) de diámetro x 250 mm de longitud",Pieza,"$2,552.06",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 6"" (152 mm) de diámetro x 250 mm de longitud",Pieza,"$3,814.10",Instalaciones hidráulicas,Conexiones
"Carrete corto fofo 8"" (203 mm) de diámetro x 250 mm de longitud",Pieza,"$6,222.41",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 10"" (254 mm) de diámetro x 500 mm de longitud",Pieza,"$12,715.76",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2"" (51 mm) de diámetro x 500 mm de longitud",Pieza,"$1,826.56",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2-1/2"" (64 mm) de diámetro x 500 mm de longitud",Pieza,"$2,472.16",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 3"" (76 mm) de diámetro x 500 mm de longitud",Pieza,"$3,208.99",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 4"" (102 mm) de diámetro x 500 mm de longitud",Pieza,"$4,094.32",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 6"" (152 mm) de diámetro x 500 mm de longitud",Pieza,"$5,887.32",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 8"" (203 mm) de diámetro x 500 mm de longitud",Pieza,"$10,102.66",Instalaciones hidráulicas,Conexiones
"Cemento flexible Basecoat, saco de 20 kg",kg,$20.04,Concretos y morteros,Adhesivos para loseta
"Adhesivo reforzado para piso Piso sobre Piso Rápido, color gris, bulto de 10 kg, marca Crest",kg,$28.59,Concretos y morteros,Adhesivos para loseta
"Cemento portland blanco CPC 30RB, saco de 50 kg",t,"$7,737.93","Cementos, cales y yesos",Cemento blanco
"Cemento portland gris CPC 30R, saco de 50 kg",t,"$4,073.92","Cementos, cales y yesos",Cemento gris
Cepillo plástico para limpieza Reynera,Pieza,$21.10,Ferretería,Consumibles
"Cera autobrillante de loseta y mármol, bote de 750 ml",Pieza,$102.95,Ferretería,Consumibles
"Cero fino, bulto de 50 kg",kg,$1.44,"Cementos, cales y yesos",Yeso fino y estuco
"Chaflán de madera de pino de 3a de 3/4"" (19 mm) x 3/4"" (19 mm) x 8 1/4' (2.50 m)",m,$5.63,Maderas,Chaflanes
"Cinta de fibra de vidrio E, de 10 cm x 45",m,$2.28,Impermeabilizantes,Membranas de refuerzo
"Cinta de refuerzo para juntas, rollo de 76.25 x 5.24 cm",Pieza,$72.27,"Cementos, cales y yesos",Compuestos y cintas
"Clavo de 2 1/2"" (63 mm) con cabeza, calibre 11, clave 3120",kg,$27.03,Ferretería,Clavos
"Cloro regular, bote de 3.75 l",l,$8.95,Ferretería,Consumibles
"Codo conduit de PVC ligero de 90° de 50 mm (2"") modelo CPL0519",Pieza,$53.53,Instalaciones eléctricas,Canalizaciones
Codo de concreto de 15x45 grados,Pieza,$108.06,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 102 mm (4"") tipo TAR-TISA",Pieza,$277.31,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 152 mm (6"") tipo TAR-TISA",Pieza,$846.77,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 203 mm (8"") tipo TAR-TISA",Pieza,"$1,948.95",Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 51 mm (2"") tipo TAR-TISA",Pieza,$175.56,Instalaciones sanitarias,Conexiones sanitarias
"Codo Fo.Fo. Bridado de 45° x 2-1/2"" (63 mm)",Pieza,"$1,281.19",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 45° x 3"" (76 mm)",Pieza,"$1,620.07",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 2-1/2"" (63 mm)",Pieza,"$1,566.28",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 3"" (76 mm)",Pieza,"$1,923.85",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 10""(254 mm) modelo L123",Pieza,"$2,526.56",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 4""(102 mm) modelo M398",Pieza,$258.75,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 6""(152 mm) modelo M607",Pieza,$643.87,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 8""(203 mm) modelo L122",Pieza,"$1,356.98",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 90° x 10""(254 mm) modelo L454",Pieza,"$3,987.72",Instalaciones hidráulicas,Conexiones
"Codo fofo 45, 22 y 11 de 51 mm ( 2"")",Pieza,$132.22,Instalaciones hidráulicas,Conexiones
Coladera Pluvial con boca de tormenta Fo.Fo. de 75 kg,Pieza,"$3,777.40",Instalaciones sanitarias,Coladeras y rejillas
"Coladera Tipo plato de hierro gris con rejilla redonda de acero inoxidable modelo UP 660, diametro de 31.75cms y rejilla redonda de 23.31 cns, con conexión roscada para 4""(100mm)",Pieza,"$1,541.83",Instalaciones sanitarias,Coladeras y rejillas
"Compuesto RD+Mix Clásico, de 22 kg",Pieza,$286.66,"Cementos, cales y yesos",Compuestos y cintas
"Concreto asfáltico planta agregado de 3/4"" a finos cemento asfáltico AC-20",m³,"$2,946.98",Básicos auxiliares,Mezclas asfálticas
Concreto Pmz fc=200 kg/cm2 Rev. 14 - 28,m³,"$2,248.36",Concretos y morteros,Concreto premezclado
Concreto Pmz fc=250 kg/cm2 Rev. 14 - 28,m³,"$2,784.91",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm",m³,"$2,113.34",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm",m³,"$2,217.83",Concretos y morteros,Concreto premezclado
"Contramarco doble canal 6"" x 1.80",Pieza,"$8,397.40",Cancelería y vidrio,Perfiles de aluminio
"Contramarco doble canal 6"" x 2.10",Pieza,"$9,170.70",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.40",Pieza,"$5,597.90",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.80",Pieza,"$6,655.00",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 2.10",Pieza,"$7,423.90",Cancelería y vidrio,Perfiles de aluminio
"Cristal flotado de 4 mm de espesor, de 2.30x2.60 m, tipo Claro",m²,$190.23,Cancelería y vidrio,Vidrio recocido
"Cruz Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",Pieza,"$25,234.01",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",Pieza,"$16,231.84",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",Pieza,"$16,945.27",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",Pieza,"$17,945.14",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",Pieza,"$19,534.96",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",Pieza,"$20,811.59",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",Pieza,"$2,126.36",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2"" (63x51 mm)",Pieza,"$2,551.48",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",Pieza,"$2,931.41",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",Pieza,"$3,082.31",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",Pieza,"$3,239.69",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",Pieza,"$3,867.28",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",Pieza,"$4,450.91",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",Pieza,"$4,782.29",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",Pieza,"$5,221.61",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",Pieza,"$5,926.44",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",Pieza,"$6,513.28",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",Pieza,"$7,035.74",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",Pieza,"$7,403.96",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",Pieza,"$8,704.54",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",Pieza,"$9,594.85",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",Pieza,"$10,780.70",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",Pieza,"$10,941.54",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",Pieza,"$11,524.34",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",Pieza,"$12,827.07",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",Pieza,"$14,692.27",Instalaciones hidráulicas,Conexiones
Detergente polvo de 1 kg,kg,$45.10,Ferretería,Consumibles
Diesel,l,$22.79,Combustibles y lubricantes,Diésel
"Electrodo revestido de 1/8"" de diámetro, 14"" de longitud, tipo Lincoln 46 E6013",kg,$73.80,Ferretería,Soldadura
"Empaque de plomo 2"" (51 mm), 2mm de espesor",Pieza,$70.41,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 10"" (256 mm)",Pieza,$496.41,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 2-1/2"" (63 mm)",Pieza,$83.46,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 3"" (76 mm)",Pieza,$102.80,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 4"" (101 mm)",Pieza,$139.57,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 6"" (152 mm)",Pieza,$172.21,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 8"" (203 mm)",Pieza,$334.16,Instalaciones hidráulicas,Conexiones
"Emulsión asfáltica RR-2K, elaborada con AC-20 ó equivalente y materiales pétreos de granulometría 3/4"" (19 mm).",l,$12.84,Básicos auxiliares,Mezclas asfálticas
"Entrada de servicio (mufa) tipo abrazadera de 1/2""(13 mm) modelo EH-1",Pieza,$26.98,Instalaciones eléctricas,Acometidas y mufas
"Entrada de servicio (mufa) tipo abrazadera de 3/4""(19 mm) modelo EHC-2",Pieza,$25.91,Instalaciones eléctricas,Acometidas y mufas
"Escalerilla, diseño 20-2. diseño 17 cm, separación 30 cm",Pieza,$21.37,Instalaciones eléctricas,Charolas y escalerillas
Escalon para pozo de visita ligero,Pieza,$155.10,Mampostería,Registros y brocales
"Esferas de poliestireno expandido recubiertos con aditivo STC-STYRENCRET para un peso volumétrico seco de 1,450 kg/m3, bolsa de 200 lts",l,$2.16,Agregados,Agregados ligeros
"Esquinero metálico cal. 26, de 2.44",Pieza,$34.27,Aceros,Ángulos
"Estopa blanca, bolsa de 1 kg, clave EST0-1B",kg,$55.00,Ferretería,Consumibles
"Extremidad Fo.Fo. bridada de 10""(256 mm)",Pieza,"$7,166.07",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2""(51 mm)",Pieza,"$1,007.41",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2-1/2""(63 mm)",Pieza,"$1,316.74",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 3""(76 mm)",Pieza,"$1,798.90",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 4""(101 mm)",Pieza,"$2,126.26",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 6""(152 mm)",Pieza,"$3,140.61",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 8""(203 mm)",Pieza,"$4,866.21",Instalaciones hidráulicas,Conexiones
Fabrimalla de acero de 2 x 2 - 14/14.,Pieza,$68.84,Aceros,Malla electrosoldada
"Repelente incoloro para muros exteriores Fester Silicón, cubeta de 19 litros, marca Fester",l,$216.58,Impermeabilizantes,Selladores
"Fierro estructural de 1"" x 1/8""",kg,$26.64,Aceros,Soleras
Flete Mty-Mex (224 m2),Flete,"$32,714.53",Equipo y herramienta,Transporte y fletes
Flete Mty-Mex (280 m2),Flete,"$41,753.71",Equipo y herramienta,Transporte y fletes
"Foco de vapor de sodio de 150w, modelo Foco SHP-TS 150W E39",Pieza,$213.92,Instalaciones eléctricas,Lámparas y focos
"Foco de vapor de sodio de 250w, modelo Foco SODIO LU250W ED18 E39",Pieza,$167.12,Instalaciones eléctricas,Lámparas y focos
"Franela de algodón color gris, rollo de 50 m, clave FRA-50G",m,$14.98,Ferretería,Consumibles
Gas butano,kg,$190.89,Combustibles y lubricantes,Gas LP
Gasolina Magna,l,$22.42,Combustibles y lubricantes,Gasolina
Grava cementada controlada,m³,$311.84,Agregados,Bases y sub-bases
"Grava de 1-1/2"" (38 mm)",m³,$637.71,Agregados,Grava
"Grava de 3/4"" (19 mm)",m³,$421.66,Agregados,Grava
Gravilla,m³,$376.83,Agregados,Grava
"Imprimador asfáltico-polimérico base agua para sistemas impermeables asfálticos Hidroprimer Plus WB, cubeta de 19 lts, marca Fester",Pieza,"$2,346.51",Impermeabilizantes,Primarios e imprimantes
"Impermeabilizante asfáltico base solvente Vaportite 550, cubeta de 19 lts, marca Fester",Pieza,"$2,581.21",Impermeabilizantes,Impermeabilizante asfáltico
Juego de herrajes para puerta modelo 65 L 300,Juego,$179.55,Cancelería y vidrio,Accesorios de cancelería
"Juego de herrajes para ventana de 2"".",Juego,$67.76,Cancelería y vidrio,Accesorios de cancelería
"Juego de llaves individuales para lavabo modelo FIG 242, acabado cromado",Pieza,"$1,089.57",Instalaciones hidráulicas,Llaves y grifería
"Juego de manerales grandes “KING” acabado latón, modelo KG",Pieza,$394.48,Instalaciones hidráulicas,Llaves y grifería
"Junta Gibault Fo.Fo. Completa de 10"" (256 mm) de diámetro",Pieza,"$2,320.82",Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2"" (51 mm) de diámetro",Pieza,$400.18,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2-1/2"" (63 mm) de diámetro",Pieza,$436.63,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 3"" (76 mm) de diámetro",Pieza,$500.42,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 4"" (101 mm) de diámetro",Pieza,$809.82,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 6"" (152 mm) de diámetro",Pieza,"$1,249.93",Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 8"" (203 mm) de diámetro",Pieza,"$1,808.60",Instalaciones hidráulicas,Conexiones
Lámina galvanizada calibre 10 con recubrimiento anticorrosión espesor de 3.45 mm de 3' x 10' (75.34 kg/Pieza),kg,$29.32,Aceros,Lámina
"Lámina galvanizada de 4'x8', calibre 18, con recubrimiento de zinc",kg,$26.94,Aceros,Lámina
"Lavabo de cerámica de alto brillo de bajo cubierta con rebosadero, color balnco, tipo Lugano, modelo LV Lugano",Pieza,"$1,670.87",Instalaciones sanitarias,Muebles de baño
Llantas 1100-20 (6),Juego,"$37,958.35",Equipo y herramienta,Equipo pesado
Llantas 11x22 (12 capas) (8) & 33.25x29 26 PRE-3 (2),Juego,"$430,642.54",Equipo y herramienta,Equipo pesado
Llantas 1300 x 24 14 PR G-2 (6),Juego,"$96,531.51",Equipo y herramienta,Equipo pesado
Llantas 14.9-24 6 R-4 (2),Juego,"$22,970.75",Equipo y herramienta,Equipo pesado
Llantas 15.5 X 25 12 C L-2 (4),Juego,"$30,160.31",Equipo y herramienta,Equipo pesado
Llantas 1800 (4),Juego,"$218,113.67",Equipo y herramienta,Equipo pesado
"Loseta modelo Gala Beige de 20.1 x 30.2 cm, aspecto mármol, acabado brillante para muro",m²,$153.60,Pisos y azulejos,Azulejo
"Loseta vinílica de 1.6 mm de espesor, de 30.48 x 30.48 cm, modelo PM 326",m²,$256.06,Pisos y azulejos,Piso vinílico
"Loseta vinílica de mm de espesor, de 30.48 x 30.48 cm, modelo TC 573",m²,$90.75,Pisos y azulejos,Piso vinílico
"Luminaria Diamante para alumbrado vial, VSAP 250 W, modelo LM026",Pieza,"$1,521.19",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 63 W, 6,800 lm, 120/227V, código 221565",Pieza,"$5,717.88",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 94 W, 10,200 lm, 120/227V, código 221569",Pieza,"$6,743.41",Instalaciones eléctricas,Luminarias
"Luminario Europea Led de 105 W, modelo LP010, carcaza de aluminio inyectado",Pieza,"$8,747.44",Instalaciones eléctricas,Luminarias
"Luminario LED industrial y comercial, carcasa de aluminio, modelo 217011 de 160 W",Pieza,"$11,192.31",Instalaciones eléctricas,Luminarias
Madera de pino (cimbra) de 1 cara de 15 mm x 1.22 x 2.44,Hoja,$507.25,Maderas,Triplay para cimbra
"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",pt,$29.78,Maderas,Tablón y duela de obra
"Malla electrosoldada de 6x6-10/10, rollo de 2.5x40 m, modelo 604",m²,$17.78,Aceros,Malla electrosoldada
"Malla esquinera recta de 4""(100 mm) x 2.40",Pieza,$33.75,Aceros,Malla electrosoldada
Malla unión Termofon,Pieza,$41.29,Aceros,Malla electrosoldada
"Manguera de succión para agua y lodo de 75 mm (3"") código MAS-ES076, tramo de 30 m",Pieza,"$10,377.31",Instalaciones hidráulicas,Conexiones
"Marco con tapa AP de 50 x 50 cm, de 80 kg",Pieza,"$3,777.40",Mampostería,Registros y brocales
"Membrana de refuerzo Festerflex, bolsa de 10 x 1.10 m, marca Fester",m,$12.33,Impermeabilizantes,Membranas de refuerzo
Moldura de poliestireno tipo pecho paloma de 10 x 10 cm No. 1,m,$45.74,Maderas,Zoclos y molduras
"Mortero expansivo SikaGrout Constructor, saco de 22 kg",Pieza,$405.90,Concretos y morteros,Grouts y autonivelantes
Panel CONTEC AAC-4 78 kg/cm2 (para Vivienda),m³,"$5,148.69",Mampostería,Paneles y celosías
Panel CONTEC AAC-4 98 kg/cm2 (para Vivienda),m³,"$5,198.79",Mampostería,Paneles y celosías
Panel de yeso regular de 1.22 x 2.44m (4' x 8') de 12.7 mm de espesor,Pieza,$156.78,"Cementos, cales y yesos",Paneles de yeso
"Panel estructural Covintec Premium de 3"" x 1.22 x 2.44",Pieza,$980.74,Mampostería,Paneles y celosías
"Panel estructural de 3"" de 1.22 x 2.44 m, alambre Cal. 14",Pieza,$980.74,Mampostería,Paneles y celosías
"Panel semi-estructural de 2"" de 1.22 x 2.44 m, alambre Cal. 14",Pieza,$929.13,Mampostería,Paneles y celosías
Perfil principal T de 3.66,Pieza,$297.00,Aceros,Perfiles estructurales
Perfil secundario T de 0.61,Pieza,$47.84,Aceros,Perfiles estructurales
Perfil secundario T de 1.22,Pieza,$93.06,Aceros,Perfiles estructurales
"Perfiles de fierro tubular de lámina 1/2""x1""",kg,$40.47,Aceros,Tubería de acero
Piedra braza,m³,$829.26,Agregados,Piedra braza
"Piedra de mármol (marmolina) blanco cero grueso, bolsa de 50 kg",kg,$2.59,"Cementos, cales y yesos",Yeso fino y estuco
"Pija para madera con aristas #10 x 1 1/2"", punta 17 phillips negra, modelo PMA10038",Pieza,$0.66,Ferretería,Tornillería
"Pija para tablaroca cuerda fina de #6 X 1 5/8"", phillips negra, modelo PT06041",Millar,$253.00,Ferretería,Tornillería
"Pintura anticorrosiva Comex 100 Primario®, cubeta de 19 litros",l,$173.48,Pinturas y recubrimientos,Primarios
"Pintura esmalte alquidálica anticorrosiva base agua, Acqua 100 Max®, cubeta de 19 litros",l,$169.86,Pinturas y recubrimientos,Esmalte
"Pintura para señalamiento de tránsito Vía Color®, cubeta de 19 litros",l,$215.93,Pinturas y recubrimientos,Pintura para tráfico
"Pintura vinil acrílica satinada base agua Vinimex®, bote de 19 litros.",l,$160.01,Pinturas y recubrimientos,Pintura vinílica
"Placa de acero A-36 de 1/4"" de 11 x 5 cm",Pieza,$78.68,Aceros,Placa de acero
"Placa de acero A-36 de 1/4"" de 9 x 5 cm",Pieza,$64.37,Aceros,Placa de acero
"Plaka plafón Dune Humiguard de 61 x 61 cm, resistente al fuego, caja con 16 piezas",Caja,"$2,989.80",Maderas,Plafones
"Plato quiebra chorro con bola de contra peso y codo cespol, de fierro fundido",Juego,"$1,304.38",Instalaciones sanitarias,Accesorios sanitarios
Polietileno de 400 micras,m²,$15.47,Impermeabilizantes,Barreras de vapor
Polín cimbra de pino de 8 cm x 8 cm x 2.50,pt,$11.45,Maderas,Polines y barrotes
Poste calibre 26 de 4.10 cm x 2.44,Pieza,$58.67,Aceros,Canales
Poste calibre 26 de 6.35 cm x 2.44,Pieza,$70.00,Aceros,Canales
"Poste cónico circular de 8.00 m, fabricado lamina de acero, calibre 11, modelo PS027",Pieza,"$5,887.97",Instalaciones eléctricas,Postes y brazos
