Descripción,Unidad,Costo,Familia,Subfamilia
"Carrete corto fofo 8"" (203 mm) de diámetro x 250 mm de longitud",Pieza,"$6,844.65",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 10"" (254 mm) de diámetro x 500 mm de longitud",Pieza,"$13,987.34",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2"" (51 mm) de diámetro x 500 mm de longitud",Pieza,"$2,009.22",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 2-1/2"" (64 mm) de diámetro x 500 mm de longitud",Pieza,"$2,719.38",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 3"" (76 mm) de diámetro x 500 mm de longitud",Pieza,"$3,529.89",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 4"" (102 mm) de diámetro x 500 mm de longitud",Pieza,"$4,503.75",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 6"" (152 mm) de diámetro x 500 mm de longitud",Pieza,"$6,476.05",Instalaciones hidráulicas,Conexiones
"Carrete largo fofo 8"" (203 mm) de diámetro x 500 mm de longitud",Pieza,"$11,112.93",Instalaciones hidráulicas,Conexiones
"Cemento flexible Basecoat, saco de 20 kg",kg,$22.04,Concretos y morteros,Adhesivos para loseta
"Adhesivo reforzado para piso Piso sobre Piso Rápido, color gris, bulto de 10 kg, marca Crest",kg,$31.45,Concretos y morteros,Adhesivos para loseta
"Cemento portland blanco CPC 30RB, saco de 50 kg",t,"$8,511.72","Cementos, cales y yesos",Cemento blanco
"Cemento portland gris CPC 30R, saco de 50 kg",t,"$4,481.31","Cementos, cales y yesos",Cemento gris
Cepillo plástico para limpieza Reynera,Pieza,$23.21,Ferretería,Consumibles
"Cera autobrillante de loseta y mármol, bote de 750 ml",Pieza,$113.25,Ferretería,Consumibles
"Cero fino, bulto de 50 kg",kg,$1.58,"Cementos, cales y yesos",Yeso fino y estuco
"Chaflán de madera de pino de 3a de 3/4"" (19 mm) x 3/4"" (19 mm) x 8 1/4' (2.50 m)",m,$6.19,Maderas,Chaflanes
"Cinta de fibra de vidrio E, de 10 cm x 45",m,$2.51,Impermeabilizantes,Membranas de refuerzo
"Cinta de refuerzo para juntas, rollo de 76.25 x 5.24 cm",Pieza,$79.50,"Cementos, cales y yesos",Compuestos y cintas
"Clavo de 2 1/2"" (63 mm) con cabeza, calibre 11, clave 3120",kg,$29.73,Ferretería,Clavos
"Cloro regular, bote de 3.75 l",l,$9.85,Ferretería,Consumibles
"Codo conduit de PVC ligero de 90° de 50 mm (2"") modelo CPL0519",Pieza,$58.88,Instalaciones eléctricas,Canalizaciones
Codo de concreto de 15x45 grados,Pieza,$118.87,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 102 mm (4"") tipo TAR-TISA",Pieza,$305.04,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 152 mm (6"") tipo TAR-TISA",Pieza,$931.45,Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 203 mm (8"") tipo TAR-TISA",Pieza,"$2,143.85",Instalaciones sanitarias,Conexiones sanitarias
"Codo de fierro fundido de 90° de 51 mm (2"") tipo TAR-TISA",Pieza,$193.12,Instalaciones sanitarias,Conexiones sanitarias
"Codo Fo.Fo. Bridado de 45° x 2-1/2"" (63 mm)",Pieza,"$1,409.31",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 45° x 3"" (76 mm)",Pieza,"$1,782.08",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 2-1/2"" (63 mm)",Pieza,"$1,722.91",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. Bridado de 90° x 3"" (76 mm)",Pieza,"$2,116.24",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 10""(254 mm) modelo L123",Pieza,"$2,779.22",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 4""(102 mm) modelo M398",Pieza,$284.63,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 6""(152 mm) modelo M607",Pieza,$708.26,Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 45° x 8""(203 mm) modelo L122",Pieza,"$1,492.68",Instalaciones hidráulicas,Conexiones
"Codo Fo.Fo. de 90° x 10""(254 mm) modelo L454",Pieza,"$4,386.49",Instalaciones hidráulicas,Conexiones
"Codo fofo 45, 22 y 11 de 51 mm ( 2"")",Pieza,$145.44,Instalaciones hidráulicas,Conexiones
Coladera Pluvial con boca de tormenta Fo.Fo. de 75 kg,Pieza,"$4,155.14",Instalaciones sanitarias,Coladeras y rejillas
"Coladera Tipo plato de hierro gris con rejilla redonda de acero inoxidable modelo UP 660, diametro de 31.75cms y rejilla redonda de 23.31 cns, con conexión roscada para 4""(100mm)",Pieza,"$1,696.01",Instalaciones sanitarias,Coladeras y rejillas
"Compuesto RD+Mix Clásico, de 22 kg",Pieza,$315.33,"Cementos, cales y yesos",Compuestos y cintas
"Concreto asfáltico planta agregado de 3/4"" a finos cemento asfáltico AC-20",m³,"$3,241.68",Básicos auxiliares,Mezclas asfálticas
Concreto Pmz fc=200 kg/cm2 Rev. 14 - 28,m³,"$2,473.20",Concretos y morteros,Concreto premezclado
Concreto Pmz fc=250 kg/cm2 Rev. 14 - 28,m³,"$3,063.40",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 150 kg/cm² resist. Normal tma 20 mm",m³,"$2,324.67",Concretos y morteros,Concreto premezclado
"Concreto premezclado ""B"", f'c 200 kg/cm² resist. Normal tma 20 mm",m³,"$2,439.61",Concretos y morteros,Concreto premezclado
"Contramarco doble canal 6"" x 1.80",Pieza,"$9,237.14",Cancelería y vidrio,Perfiles de aluminio
"Contramarco doble canal 6"" x 2.10",Pieza,"$10,087.77",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.40",Pieza,"$6,157.69",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 1.80",Pieza,"$7,320.50",Cancelería y vidrio,Perfiles de aluminio
"Contramarco sencillo centrado, canal de 6""x 2.10",Pieza,"$8,166.29",Cancelería y vidrio,Perfiles de aluminio
"Cristal flotado de 4 mm de espesor, de 2.30x2.60 m, tipo Claro",m²,$209.25,Cancelería y vidrio,Vidrio recocido
"Cruz Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",Pieza,"$27,757.41",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",Pieza,"$17,855.02",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",Pieza,"$18,639.80",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",Pieza,"$19,739.65",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",Pieza,"$21,488.46",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",Pieza,"$22,892.75",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",Pieza,"$2,339.00",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2"" (63x51 mm)",Pieza,"$2,806.63",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",Pieza,"$3,224.55",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",Pieza,"$3,390.54",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",Pieza,"$3,563.66",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",Pieza,"$4,254.01",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",Pieza,"$4,896.00",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",Pieza,"$5,260.52",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",Pieza,"$5,743.77",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",Pieza,"$6,519.08",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",Pieza,"$7,164.61",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",Pieza,"$7,739.31",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",Pieza,"$8,144.36",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",Pieza,"$9,574.99",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",Pieza,"$10,554.34",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",Pieza,"$11,858.77",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",Pieza,"$12,035.69",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",Pieza,"$12,676.77",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",Pieza,"$14,109.78",Instalaciones hidráulicas,Conexiones
"Cruz Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",Pieza,"$16,161.50",Instalaciones hidráulicas,Conexiones
Detergente polvo de 1 kg,kg,$49.61,Ferretería,Consumibles
Diesel,l,$25.07,Combustibles y lubricantes,Diésel
"Electrodo revestido de 1/8"" de diámetro, 14"" de longitud, tipo Lincoln 46 E6013",kg,$81.18,Ferretería,Soldadura
"Empaque de plomo 2"" (51 mm), 2mm de espesor",Pieza,$77.45,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 10"" (256 mm)",Pieza,$546.05,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 2-1/2"" (63 mm)",Pieza,$91.81,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 3"" (76 mm)",Pieza,$113.08,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 4"" (101 mm)",Pieza,$153.53,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 6"" (152 mm)",Pieza,$189.43,Instalaciones hidráulicas,Conexiones
"Empaque de plomo de 8"" (203 mm)",Pieza,$367.58,Instalaciones hidráulicas,Conexiones
"Emulsión asfáltica RR-2K, elaborada con AC-20 ó equivalente y materiales pétreos de granulometría 3/4"" (19 mm).",l,$14.12,Básicos auxiliares,Mezclas asfálticas
"Entrada de servicio (mufa) tipo abrazadera de 1/2""(13 mm) modelo EH-1",Pieza,$29.68,Instalaciones eléctricas,Acometidas y mufas
"Entrada de servicio (mufa) tipo abrazadera de 3/4""(19 mm) modelo EHC-2",Pieza,$28.50,Instalaciones eléctricas,Acometidas y mufas
"Escalerilla, diseño 20-2. diseño 17 cm, separación 30 cm",Pieza,$23.51,Instalaciones eléctricas,Charolas y escalerillas
Escalon para pozo de visita ligero,Pieza,$170.61,Mampostería,Registros y brocales
"Esferas de poliestireno expandido recubiertos con aditivo STC-STYRENCRET para un peso volumétrico seco de 1,450 kg/m3, bolsa de 200 lts",l,$2.38,Agregados,Agregados ligeros
"Esquinero metálico cal. 26, de 2.44",Pieza,$37.70,Aceros,Ángulos
"Estopa blanca, bolsa de 1 kg, clave EST0-1B",kg,$60.50,Ferretería,Consumibles
"Extremidad Fo.Fo. bridada de 10""(256 mm)",Pieza,"$7,882.68",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2""(51 mm)",Pieza,"$1,108.15",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 2-1/2""(63 mm)",Pieza,"$1,448.41",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 3""(76 mm)",Pieza,"$1,978.79",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 4""(101 mm)",Pieza,"$2,338.89",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 6""(152 mm)",Pieza,"$3,454.67",Instalaciones hidráulicas,Conexiones
"Extremidad Fo.Fo. bridada de 8""(203 mm)",Pieza,"$5,352.83",Instalaciones hidráulicas,Conexiones
Fabrimalla de acero de 2 x 2 - 14/14.,Pieza,$75.72,Aceros,Malla electrosoldada
"Repelente incoloro para muros exteriores Fester Silicón, cubeta de 19 litros, marca Fester",l,$238.24,Impermeabilizantes,Selladores
"Fierro estructural de 1"" x 1/8""",kg,$29.30,Aceros,Soleras
Flete Mty-Mex (224 m2),Flete,"$35,985.98",Equipo y herramienta,Transporte y fletes
Flete Mty-Mex (280 m2),Flete,"$45,929.08",Equipo y herramienta,Transporte y fletes
"Foco de vapor de sodio de 150w, modelo Foco SHP-TS 150W E39",Pieza,$235.31,Instalaciones eléctricas,Lámparas y focos
"Foco de vapor de sodio de 250w, modelo Foco SODIO LU250W ED18 E39",Pieza,$183.83,Instalaciones eléctricas,Lámparas y focos
"Franela de algodón color gris, rollo de 50 m, clave FRA-50G",m,$16.48,Ferretería,Consumibles
Gas butano,kg,$209.98,Combustibles y lubricantes,Gas LP
Gasolina Magna,l,$24.66,Combustibles y lubricantes,Gasolina
Grava cementada controlada,m³,$343.02,Agregados,Bases y sub-bases
"Grava de 1-1/2"" (38 mm)",m³,$701.48,Agregados,Grava
"Grava de 3/4"" (19 mm)",m³,$463.83,Agregados,Grava
Gravilla,m³,$414.51,Agregados,Grava
"Imprimador asfáltico-polimérico base agua para sistemas impermeables asfálticos Hidroprimer Plus WB, cubeta de 19 lts, marca Fester",Pieza,"$2,581.16",Impermeabilizantes,Primarios e imprimantes
"Impermeabilizante asfáltico base solvente Vaportite 550, cubeta de 19 lts, marca Fester",Pieza,"$2,839.33",Impermeabilizantes,Impermeabilizante asfáltico
Juego de herrajes para puerta modelo 65 L 300,Juego,$197.51,Cancelería y vidrio,Accesorios de cancelería
"Juego de herrajes para ventana de 2"".",Juego,$74.54,Cancelería y vidrio,Accesorios de cancelería
"Juego de llaves individuales para lavabo modelo FIG 242, acabado cromado",Pieza,"$1,198.53",Instalaciones hidráulicas,Llaves y grifería
"Juego de manerales grandes “KING” acabado latón, modelo KG",Pieza,$433.93,Instalaciones hidráulicas,Llaves y grifería
"Junta Gibault Fo.Fo. Completa de 10"" (256 mm) de diámetro",Pieza,"$2,552.90",Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2"" (51 mm) de diámetro",Pieza,$440.20,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 2-1/2"" (63 mm) de diámetro",Pieza,$480.29,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 3"" (76 mm) de diámetro",Pieza,$550.46,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 4"" (101 mm) de diámetro",Pieza,$890.80,Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 6"" (152 mm) de diámetro",Pieza,"$1,374.92",Instalaciones hidráulicas,Conexiones
"Junta Gibault Fo.Fo. Completa de 8"" (203 mm) de diámetro",Pieza,"$1,989.46",Instalaciones hidráulicas,Conexiones
Lámina galvanizada calibre 10 con recubrimiento anticorrosión espesor de 3.45 mm de 3' x 10' (75.34 kg/Pieza),kg,$32.25,Aceros,Lámina
"Lámina galvanizada de 4'x8', calibre 18, con recubrimiento de zinc",kg,$29.63,Aceros,Lámina
"Lavabo de cerámica de alto brillo de bajo cubierta con rebosadero, color balnco, tipo Lugano, modelo LV Lugano",Pieza,"$1,837.96",Instalaciones sanitarias,Muebles de baño
Llantas 1100-20 (6),Juego,"$41,754.19",Equipo y herramienta,Equipo pesado
Llantas 11x22 (12 capas) (8) & 33.25x29 26 PRE-3 (2),Juego,"$473,706.79",Equipo y herramienta,Equipo pesado
Llantas 1300 x 24 14 PR G-2 (6),Juego,"$106,184.66",Equipo y herramienta,Equipo pesado
Llantas 14.9-24 6 R-4 (2),Juego,"$25,267.83",Equipo y herramienta,Equipo pesado
Llantas 15.5 X 25 12 C L-2 (4),Juego,"$33,176.34",Equipo y herramienta,Equipo pesado
Llantas 1800 (4),Juego,"$239,925.04",Equipo y herramienta,Equipo pesado
"Loseta modelo Gala Beige de 20.1 x 30.2 cm, aspecto mármol, acabado brillante para muro",m²,$168.96,Pisos y azulejos,Azulejo
"Loseta vinílica de 1.6 mm de espesor, de 30.48 x 30.48 cm, modelo PM 326",m²,$281.67,Pisos y azulejos,Piso vinílico
"Loseta vinílica de mm de espesor, de 30.48 x 30.48 cm, modelo TC 573",m²,$99.83,Pisos y azulejos,Piso vinílico
"Luminaria Diamante para alumbrado vial, VSAP 250 W, modelo LM026",Pieza,"$1,673.31",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 63 W, 6,800 lm, 120/227V, código 221565",Pieza,"$6,289.67",Instalaciones eléctricas,Luminarias
"Luminaria LED de calle SL-SM de 94 W, 10,200 lm, 120/227V, código 221569",Pieza,"$7,417.75",Instalaciones eléctricas,Luminarias
"Luminario Europea Led de 105 W, modelo LP010, carcaza de aluminio inyectado",Pieza,"$9,622.18",Instalaciones eléctricas,Luminarias
"Luminario LED industrial y comercial, carcasa de aluminio, modelo 217011 de 160 W",Pieza,"$12,311.54",Instalaciones eléctricas,Luminarias
Madera de pino (cimbra) de 1 cara de 15 mm x 1.22 x 2.44,Hoja,$557.98,Maderas,Triplay para cimbra
"Madera de pino de 3a de 3/4"" (19mm) x 12"" (30 cm) x 8-1/4' (2.50m)",pt,$32.76,Maderas,Tablón y duela de obra
"Malla electrosoldada de 6x6-10/10, rollo de 2.5x40 m, modelo 604",m²,$19.56,Aceros,Malla electrosoldada
"Malla esquinera recta de 4""(100 mm) x 2.40",Pieza,$37.13,Aceros,Malla electrosoldada
Malla unión Termofon,Pieza,$45.42,Aceros,Malla electrosoldada
"Manguera de succión para agua y lodo de 75 mm (3"") código MAS-ES076, tramo de 30 m",Pieza,"$11,415.04",Instalaciones hidráulicas,Conexiones
"Marco con tapa AP de 50 x 50 cm, de 80 kg",Pieza,"$4,155.14",Mampostería,Registros y brocales
"Membrana de refuerzo Festerflex, bolsa de 10 x 1.10 m, marca Fester",m,$13.56,Impermeabilizantes,Membranas de refuerzo
Moldura de poliestireno tipo pecho paloma de 10 x 10 cm No. 1,m,$50.31,Maderas,Zoclos y molduras
"Mortero expansivo SikaGrout Constructor, saco de 22 kg",Pieza,$446.49,Concretos y morteros,Grouts y autonivelantes
Panel CONTEC AAC-4 78 kg/cm2 (para Vivienda),m³,"$5,663.56",Mampostería,Paneles y celosías
Panel CONTEC AAC-4 98 kg/cm2 (para Vivienda),m³,"$5,718.67",Mampostería,Paneles y celosías
Panel de yeso regular de 1.22 x 2.44m (4' x 8') de 12.7 mm de espesor,Pieza,$172.46,"Cementos, cales y yesos",Paneles de yeso
"Panel estructural Covintec Premium de 3"" x 1.22 x 2.44",Pieza,"$1,078.81",Mampostería,Paneles y celosías
"Panel estructural de 3"" de 1.22 x 2.44 m, alambre Cal. 14",Pieza,"$1,078.81",Mampostería,Paneles y celosías
"Panel semi-estructural de 2"" de 1.22 x 2.44 m, alambre Cal. 14",Pieza,"$1,022.04",Mampostería,Paneles y celosías
Perfil principal T de 3.66,Pieza,$326.70,Aceros,Perfiles estructurales
Perfil secundario T de 0.61,Pieza,$52.62,Aceros,Perfiles estructurales
Perfil secundario T de 1.22,Pieza,$102.37,Aceros,Perfiles estructurales
"Perfiles de fierro tubular de lámina 1/2""x1""",kg,$44.52,Aceros,Tubería de acero
Piedra braza,m³,$912.19,Agregados,Piedra braza
"Piedra de mármol (marmolina) blanco cero grueso, bolsa de 50 kg",kg,$2.85,"Cementos, cales y yesos",Yeso fino y estuco
"Pija para madera con aristas #10 x 1 1/2"", punta 17 phillips negra, modelo PMA10038",Pieza,$0.73,Ferretería,Tornillería
"Pija para tablaroca cuerda fina de #6 X 1 5/8"", phillips negra, modelo PT06041",Millar,$278.30,Ferretería,Tornillería
"Pintura anticorrosiva Comex 100 Primario®, cubeta de 19 litros",l,$190.83,Pinturas y recubrimientos,Primarios
"Pintura esmalte alquidálica anticorrosiva base agua, Acqua 100 Max®, cubeta de 19 litros",l,$186.85,Pinturas y recubrimientos,Esmalte
"Pintura para señalamiento de tránsito Vía Color®, cubeta de 19 litros",l,$237.52,Pinturas y recubrimientos,Pintura para tráfico
"Pintura vinil acrílica satinada base agua Vinimex®, bote de 19 litros.",l,$176.01,Pinturas y recubrimientos,Pintura vinílica
"Placa de acero A-36 de 1/4"" de 11 x 5 cm",Pieza,$86.55,Aceros,Placa de acero
"Placa de acero A-36 de 1/4"" de 9 x 5 cm",Pieza,$70.81,Aceros,Placa de acero
"Plaka plafón Dune Humiguard de 61 x 61 cm, resistente al fuego, caja con 16 piezas",Caja,"$3,288.78",Maderas,Plafones
"Plato quiebra chorro con bola de contra peso y codo cespol, de fierro fundido",Juego,"$1,434.82",Instalaciones sanitarias,Accesorios sanitarios
Polietileno de 400 micras,m²,$17.02,Impermeabilizantes,Barreras de vapor
Polín cimbra de pino de 8 cm x 8 cm x 2.50,pt,$12.60,Maderas,Polines y barrotes
Poste calibre 26 de 4.10 cm x 2.44,Pieza,$64.54,Aceros,Canales
Poste calibre 26 de 6.35 cm x 2.44,Pieza,$77.00,Aceros,Canales
"Poste cónico circular de 8.00 m, fabricado lamina de acero, calibre 11, modelo PS027",Pieza,"$6,476.77",Instalaciones eléctricas,Postes y brazos
