Familia,Subfamilia,Insumos_asociados,Icono
Instalaciones hidráulicas,Tubería CPVC,Tubo CPVC para agua caliente,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Tubería de cobre,Tubo de cobre tipo M y L,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Tubería galvanizada,Tubo galvanizado para instalación hidráulica,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Tubería PPR,Tubo PPR termofusión,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Conexiones,"Coples, codos, tees, reducciones hidráulicas",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Válvulas de agua,"Válvula de esfera, válvula check, válvula de compuerta",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Llaves y grifería,"Llave de nariz, mezcladora, regadera",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Tinacos y cisternas,"Tinaco de polietileno, cisterna prefabricada",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Calentadores de gas,"Calentador de paso, calentador de depósito",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Calentadores solares,Calentador solar de tubos evacuados y placa plana,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Bombas de agua,"Bomba centrífuga, bomba sumergible, hidroneumático",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Filtros y equipos de tratamiento,"Filtro de sedimentos, suavizador de agua, cloración",familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Medidores de agua,Medidor volumétrico de agua potable,familia-instalaciones-hidraulicas
Instalaciones hidráulicas,Agua,Agua potable para obra,familia-instalaciones-hidraulicas
Instalaciones sanitarias,Muebles de baño,"WC, lavabo, mingitorio, regadera",familia-instalaciones-sanitarias
Instalaciones sanitarias,Accesorios sanitarios,"Asiento, fluxómetro, dispensador, papelera",familia-instalaciones-sanitarias
Instalaciones sanitarias,Tubería PVC sanitaria,"Tubo PVC sanitario de 2"" a 6""",familia-instalaciones-sanitarias
Instalaciones sanitarias,Tubería de fierro fundido,Tubo de fierro fundido para drenaje,familia-instalaciones-sanitarias
Instalaciones sanitarias,Tubería de alcantarillado,Tubo de PVC y concreto para alcantarillado,familia-instalaciones-sanitarias
Instalaciones sanitarias,Conexiones sanitarias,"Codos, yee, tee sanitaria, reducción",familia-instalaciones-sanitarias
Instalaciones sanitarias,Fosas sépticas,Fosa séptica prefabricada,familia-instalaciones-sanitarias
Instalaciones sanitarias,Coladeras y rejillas,"Coladera de piso, rejilla pluvial",familia-instalaciones-sanitarias
Instalaciones sanitarias,Válvulas y trampas,"Trampa de grasa, válvula check sanitaria",familia-instalaciones-sanitarias
Instalaciones sanitarias,Tuberías para drenaje pluvial,Tubo PVC y de lámina para bajada de agua pluvial,familia-instalaciones-sanitarias
Instalaciones eléctricas,Conductores,"Cable THHW, cable THW, cable de cobre desnudo",familia-instalaciones-electricas
Instalaciones eléctricas,Canalizaciones,"Tubo conduit, tubo EMT, ducto de PVC eléctrico",familia-instalaciones-electricas
Instalaciones eléctricas,Conexiones eléctricas,"Conectores, cajas de conexión, cinta aislante",familia-instalaciones-electricas
Instalaciones eléctricas,Interruptores y contactos,"Apagador, contacto sencillo y polarizado, placa",familia-instalaciones-electricas
Instalaciones eléctricas,Protección y tableros,"Interruptor termomagnético, centro de carga, pastillas",familia-instalaciones-electricas
Instalaciones eléctricas,Luminarias,"Luminaria LED, lámpara de sobreponer y empotrar",familia-instalaciones-electricas
Instalaciones eléctricas,Lámparas y focos,"Foco LED, foco ahorrador",familia-instalaciones-electricas
Instalaciones eléctricas,Postes y brazos,"Poste de concreto y metálico, brazo para luminaria",familia-instalaciones-electricas
Instalaciones eléctricas,Acometidas y mufas,"Mufa, base de medidor, acometida eléctrica",familia-instalaciones-electricas
Instalaciones eléctricas,Charolas y escalerillas,"Charola metálica, escalerilla porta cables",familia-instalaciones-electricas
Ferretería,Clavos,"Clavo de 1"" a 4"", clavo para cimbra",familia-ferreteria
Ferretería,Tornillería,"Tornillo para tablaroca, tornillo autorroscante, tuercas",familia-ferreteria
Ferretería,Anclas y taquetes,"Ancla de expansión, taquete de plástico y metálico",familia-ferreteria
Ferretería,Abrazaderas y soportes,"Abrazadera para tubo, soporte metálico",familia-ferreteria
Ferretería,Cerrajería,"Cerradura, chapa, candado",familia-ferreteria
Ferretería,Herrajes,"Bisagra, jaladera, corredera",familia-ferreteria
Ferretería,Adhesivos,"Silicón, pegamento de contacto, cinta doble cara",familia-ferreteria
Ferretería,Soldadura,"Electrodo, alambre para soldar, fundente",familia-ferreteria
Ferretería,Lijas y abrasivos,"Lija de agua, disco de corte, disco de desbaste",familia-ferreteria
Ferretería,Consumibles,"Guantes desechables, trapo, estopa",familia-ferreteria
Combustibles y lubricantes,Diésel,Diésel para maquinaria y plantas de luz,familia-combustibles-lubricantes
Combustibles y lubricantes,Gasolina,Gasolina Magna y Premium para equipo menor,familia-combustibles-lubricantes
Combustibles y lubricantes,Gas LP,Gas LP para sopletes y equipo,familia-combustibles-lubricantes
Combustibles y lubricantes,Aceites de motor,"Aceite de motor 15W40, 20W50",familia-combustibles-lubricantes
Combustibles y lubricantes,Aceites hidráulicos,"Aceite hidráulico ISO 32, 46, 68",familia-combustibles-lubricantes
Combustibles y lubricantes,Grasas,"Grasa multiusos, grasa de litio",familia-combustibles-lubricantes
Combustibles y lubricantes,Anticongelantes y refrigerantes,"Anticongelante para radiador, refrigerante",familia-combustibles-lubricantes
Combustibles y lubricantes,Energía eléctrica,Consumo de energía eléctrica en obra,familia-combustibles-lubricantes
Combustibles y lubricantes,Combustóleo y keroseno,"Combustóleo industrial, keroseno",familia-combustibles-lubricantes
Combustibles y lubricantes,Fluidos y aditivos,"Líquido de frenos, aditivo para combustible",familia-combustibles-lubricantes
Mano de obra,Albañilería,"Albañil, ayudante de albañil",familia-mano-de-obra
Mano de obra,Herrería,"Herrero, soldador estructural",familia-mano-de-obra
Mano de obra,Carpintería,"Carpintero de obra, cimbrador",familia-mano-de-obra
Mano de obra,Electricidad,"Electricista, ayudante de electricista",familia-mano-de-obra
Mano de obra,Plomería,"Plomero, instalador hidrosanitario",familia-mano-de-obra
Mano de obra,Pintura,Pintor de obra,familia-mano-de-obra
Mano de obra,Operadores,Operador de maquinaria pesada y equipo,familia-mano-de-obra
Mano de obra,Ayudantes,"Peón, ayudante general",familia-mano-de-obra
Equipo y herramienta,Accesorios de cimbra,"Clavos de cimbra, desmoldante, tensores, cuñas, separadores",familia-equipo-herramienta
Equipo y herramienta,Andamios,"Andamio tubular, marcos, plataformas, escaleras de andamio",familia-equipo-herramienta
Equipo y herramienta,Bombeo de concreto,"Bomba estacionaria de concreto, bomba pluma",familia-equipo-herramienta
Equipo y herramienta,Cimbra metálica,"Paneles metálicos, formaleta modular, puntales metálicos",familia-equipo-herramienta
Equipo y herramienta,Equipo de izaje,"Grúa torre, grúa telescópica, malacate, montacargas, winche",familia-equipo-herramienta
Equipo y herramienta,Equipo de seguridad,"Casco, arnés, guantes, lentes de seguridad, equipo de protección personal (%mo)",familia-equipo-herramienta
Equipo y herramienta,Equipo de soldadura y corte,"Máquina de soldar, equipo de oxicorte, careta y consumibles",familia-equipo-herramienta
Equipo y herramienta,Equipo de compactación,"Rodillo vibratorio, placa compactadora, bailarina",familia-equipo-herramienta
Equipo y herramienta,Equipo ligero,"Vibrador de concreto, cortadora de piso, revolvedora",familia-equipo-herramienta
Equipo y herramienta,Equipo pesado,"Retroexcavadora, motoniveladora, cargador frontal, excavadora",familia-equipo-herramienta
Equipo y herramienta,Equipo topográfico,"Estación total, nivel óptico, GPS de precisión, mira topográfica",familia-equipo-herramienta
Equipo y herramienta,Herramienta eléctrica,"Taladro, rotomartillo, sierra circular, esmeriladora",familia-equipo-herramienta
Equipo y herramienta,Herramienta manual,"Pala, pico, cucharas de albañil, herramienta de mano (%mo)",familia-equipo-herramienta
Equipo y herramienta,Herramienta de plomería/hidráulica,"Terraja, prensa para tubo, cortatubos",familia-equipo-herramienta
Equipo y herramienta,Transporte y fletes,"Volqueta, camión de carga, mezcladora móvil, flete de materiales",familia-equipo-herramienta
Instalaciones de gas,Tubería de cobre para gas,Tubo de cobre tipo L y K para gas,familia-instalaciones-de-gas
Instalaciones de gas,Tubería flexible,"Conector flexible de gas, manguera para gas LP",familia-instalaciones-de-gas
Instalaciones de gas,Tubería de polietileno para gas,Tubo de polietileno para redes de gas natural,familia-instalaciones-de-gas
Instalaciones de gas,Conexiones abocinadas,"Conexión abocinada, unión universal para gas",familia-instalaciones-de-gas
Instalaciones de gas,Reguladores de gas,Regulador de baja y alta presión,familia-instalaciones-de-gas
Instalaciones de gas,Válvulas de gas,"Válvula de esfera para gas, válvula de corte",familia-instalaciones-de-gas
Instalaciones de gas,Tanques estacionarios,Tanque estacionario de gas LP,familia-instalaciones-de-gas
Instalaciones de gas,Cilindros,Cilindro de gas LP de 20 y 30 kg,familia-instalaciones-de-gas
Instalaciones de gas,Medidores de gas,Medidor de gas doméstico e industrial,familia-instalaciones-de-gas
Instalaciones de gas,Accesorios de gas,"Abrazaderas, cinta para gas, detector de fugas",familia-instalaciones-de-gas
Jardinería,Tierra,"Tierra de hoja, tierra lama, tierra negra",familia-jardineria
Jardinería,Plantas,"Árboles, arbustos, plantas de ornato",familia-jardineria
Jardinería,Pasto,"Pasto en rollo, pasto en semilla",familia-jardineria
"Muebles, cocinas y accesorios",Cocinas integrales,"Cocina integral de melamina, madera o MDF",familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Parrillas y estufas,"Parrilla eléctrica y de gas, estufa empotrable",familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Gabinetes,Gabinete inferior y superior de cocina,familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Bases y cubiertas,"Cubierta de granito, cuarzo o laminado",familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Tarjas,"Tarja de acero inoxidable, tarja de granito",familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Extractores y campanas,Campana extractora de cocina,familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Trituradores,Triturador de alimentos para tarja,familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Interceptores de grasa,Trampa de grasa para cocina,familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Hornos y electrodomésticos,"Horno empotrable, microondas, refrigerador",familia-muebles-cocinas-accesorios
"Muebles, cocinas y accesorios",Accesorios de cocina,"Jaladeras, correderas, organizadores",familia-muebles-cocinas-accesorios
Básicos auxiliares,Concretos elaborados en obra,Mezcla de concreto dosificada en obra,familia-basicos-auxiliares
Básicos auxiliares,Morteros,Mortero cemento-arena para distintos usos,familia-basicos-auxiliares
Básicos auxiliares,Aplanados y enlucidos,"Aplanado de yeso, aplanado de mortero, enlucido fino",familia-basicos-auxiliares
Básicos auxiliares,Lechadas y grouts,"Lechada de cemento, grout para anclajes",familia-basicos-auxiliares
Básicos auxiliares,Firmes y plantillas,"Firme de concreto, plantilla de limpieza",familia-basicos-auxiliares
Básicos auxiliares,Rellenos y bases,"Relleno compactado, material de banco para bases",familia-basicos-auxiliares
Básicos auxiliares,Mezclas asfálticas,"Carpeta asfáltica, riego de liga",familia-basicos-auxiliares
Básicos auxiliares,Sistemas de cimbra,"Sistema de cimbra completo (paneles, puntales, accesorios)",familia-basicos-auxiliares
Básicos auxiliares,Sistemas de impermeabilización,Sistema completo de impermeabilización de azotea,familia-basicos-auxiliares
Básicos auxiliares,Sistemas de recubrimiento,Sistema de recubrimiento de piso o muro,familia-basicos-auxiliares
Básicos auxiliares,Sistemas de tablaroca,Sistema de muro o plafón de tablaroca completo,familia-basicos-auxiliares
Básicos auxiliares,Sistemas de piso,"Sistema de piso terminado (base, adhesivo, acabado)",familia-basicos-auxiliares
Básicos auxiliares,Plantas de tratamiento y drenaje,"Planta de tratamiento paquete, sistema de drenaje",familia-basicos-auxiliares
Básicos auxiliares,Obra falsa y andamiaje,"Obra falsa para puentes, andamiaje de apoyo",familia-basicos-auxiliares
Básicos auxiliares,Pruebas y control de calidad,"Prueba de compresión de concreto, prueba de laboratorio",familia-basicos-auxiliares
